stop,rstnam,line,nptref,smsref,gmgrfe,gmgrfn,mainrd,sidest,nettyp,gazref,netwrf,lifts,ramps,cycle_prov,cycle_lockers,stands,car_parking,total_spaces,bb_spaces
Shadowmoss,Shadowmoss,Manchester,9400ZZMASDW,MANTWJMA,383295,385662,SHADOW MOSS RD,NA,M,E0029575,SBR724,No,Yes,Yes,0,0,No,0,0
Wythenshaw Park,Wythenshawe Park,Manchester,9400ZZMAWPK,MANTWGTM,380442,390134,WYTHENSHAWE RD,NA,M,N0075104,SBR694,No,Yes,Yes,0,0,No,0,0
Wythenshaw Town Centre,Wythenshawe Town Centre,Manchester,9400ZZMAWYT,MANTWJDP,382552,387050,AINLEY ROAD,NA,M,E0029594,SBR715,No,Yes,Yes,0,0,No,0,0
Central Park,Central Park,Oldham Mumps,9400ZZMACTP,MANTPDPT,386882,400564,THE GATEWAY,NONE,M,E0029135,EBR497,Yes,Yes,Yes,0,18,No,0,0
Derker,Derker,Oldham Mumps,9400ZZMADER,MANTPWAD,393364,405913,YATES STREET,SHAW ROAD,M,E0028333,EDR026,Yes,Yes,Yes,5,5,Yes,251,16
Failsworth,Failsworth,Oldham Mumps,9400ZZMAFWH,MANTPMTP,389292,401559,HARDMAN LANE,OLD ROAD,M,E0028385,EDR126,Yes,Yes,Yes,5,5,No,0,0
Freehold,Freehold,Oldham Mumps,9400ZZMAFRE,MANTPTAD,390940,404559,BLOCK LANE,NA,M,E0028692,EDR596,Yes,Yes,Yes,4,5,Yes,3,3
Hollinwood,Hollinwood,Oldham Mumps,9400ZZMAHOL,MANTPMWD,390318,402583,RAILWAY RD,BOWER LANE,M,E0028839,EDR068,Yes,Yes,Yes,0,5,Yes,190,12
Kingsway Business Park,Kingsway Business Park,Oldham Mumps,9400ZZMAKNY,MANTWADT,391903,412735,LEYFIELD RD,NA,M,E0029072,NER639,No,Yes,Yes,5,5,No,0,0
Milnrow,Milnrow,Oldham Mumps,9400ZZMAMIL,MANTPWDJ,392681,412399,STATION ROAD,ELIZABETHAN WAY,M,E0029072,NER061,No,Yes,Yes,5,5,Yes,19,3
Monsall,Monsall,Oldham Mumps,9400ZZMAMON,MANTPDTA,386122,400506,MONSALL STREET,RUISLIP AVENUE,M,E0029076,EBR499,Yes,Yes,Yes,5,5,No,0,0
Newbold,Newbold,Oldham Mumps,9400ZZMANBD,MANTPWDT,391132,412988,KINGSWAY,NA,M,E0029130,NER608,No,Yes,Yes,5,5,No,0,0
Newhey,Newhey,Oldham Mumps,9400ZZMANHY,MANTPWAW,393820,411591,HUDDERSFIELD RD,RAILWAY STREET,M,E0029132,NER053,No,Yes,Yes,5,5,No,0,0
Newton Heath and Moston,Newton Heath & Moston,Oldham Mumps,9400ZZMANEW,MANTPMTM,387850,400840,DEAN LANE,IVY GRAHAM,M,E0029135,EBR129,No,Yes,Yes,0,5,No,0,0
Oldham Central,Oldham Central,Oldham Mumps,9400ZZMAOMC,MANTWGJD,392663,404852,UNION ST,NA,M,E0057798,EDR682,No,Yes,Yes,0,9,No,0,0
Oldham King Street,Oldham King Street,Oldham Mumps,9400ZZMAOKS,MANTWGDT,392331,404774,KING STREET,NA,M,E0057798,EDR679,No,Yes,Yes,0,5,No,0,0
Oldham Mumps,Oldham Mumps,Oldham Mumps,9400ZZMAOMP,MANTPTAM,393243,405088,MUMPS,NA,M,N0075108,EDR066,No,Yes,Yes,5,5,Yes,270,16
Rochdale Railway Station,Rochdale,Oldham Mumps,9400ZZMARIN,MANTWDWJ,389823,413430,SMITH ST,NA,M,E0057799,NER670,No,Yes,Yes,5,5,Yes,217,13
Rochdale Town Centre,Rochdale Railway Station,Oldham Mumps,9400ZZMARRS,MANTPWGD,389879,412728,MACLURE RD,NA,M,E0057799,NER611,No,Yes,Yes,0,5,No,0,0
Shaw & Crompton,Shaw and Crompton,Oldham Mumps,9400ZZMASHA,MANTPWAM,394168,408842,BEAL LANE,JUBLIEE STREET,M,E0029308,EDR025,No,Yes,Yes,5,5,Yes,44,4
South Chadderton,South Chadderton,Oldham Mumps,9400ZZMASCH,MANTPMWM,390467,403325,CANAL ST,NA,M,E0029538,EDR593,No,Yes,Yes,5,5,No,0,0
Westwood,Westwood,Oldham Mumps,9400ZZMAWWD,MANTWGDJ,391756,405081,MIDDLETON RD,NA,M,E0029527,EDR676,No,Yes,Yes,5,5,No,0,0
Burton Road,Burton Road,South,9400ZZMABNR,MANTWDAP,384104,392515,BURTON ROAD,NA,M,E0029519,SBR645,Yes,Yes,Yes,5,4,No,0,0
Chorlton,Chorlton,South,9400ZZMACHO,MANTPDWD,381935,394042,WILBRAHAM ROAD,NONE,M,E0028713,SBR500,Yes,Yes,Yes,0,6,No,0,0
Didsbury Village,Didsbury Village,South,9400ZZMADID,MANTWDGP,384906,391127,OLIVE SHAPLEY A,NA,M,E0028336,SBR650,No,Yes,Yes,5,5,No,0,0
East Didsbury,East Didsbury,South,9400ZZMAEDY,MANTWDJD,385656,390603,KINGSWAY,NA,M,E0028368,EBR654,Yes,Yes,Yes,5,10,Yes,302,18
Firswood,Firswood,South,9400ZZMAFIR,MANTPDPM,381654,394982,RYE BANK RD,NONE,M,E0028403,SJR496,Yes,Yes,Yes,0,5,No,0,0
St Werburgh's Road,St Werburgh's Road,South,9400ZZMASTW,MANTPDPW,382465,393580,ST WERBURGHS RD,NONE,M,E0028713,SBR498,Yes,Yes,Yes,5,10,No,0,0
West Didsbury,West Didsbury,South,9400ZZMAWTD,MANTWDGA,384412,391989,LAPWING LANE,NA,M,E0029519,SBR648,Yes,Yes,Yes,5,5,No,0,0
Withington,Withington,South,9400ZZMAWIT,MANTWDAD,383527,392919,PRINCESS RD,NA,M,E0029558,SBR642,Yes,Yes,Yes,5,6,No,0,0
